id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating
43015,boardgame,Hansa Teutonica,2009,2,5,90,45,90,12,6717,7.64376
97207,boardgame,Dungeon Petz,2011,2,4,90,90,90,13,6071,7.6423
129437,boardgame,Legendary: A Marvel Deck Building Game,2012,1,5,45,45,45,14,7443,7.6399
555,boardgame,The Princes of Florence,2000,2,5,100,75,100,12,12091,7.63383
113997,boardgame,Tajemnicze Domostwo,2013,2,7,60,30,60,8,2129,7.62476
22545,boardgame,Age of Empires III: The Age of Discovery,2007,2,5,120,90,120,10,7944,7.62416
121,boardgame,Dune,1979,2,6,180,60,180,12,4105,7.62186
118048,boardgame,Targi,2012,2,2,60,60,60,12,3422,7.62096
20551,boardgame,Shogun,2006,3,5,150,150,150,12,9060,7.61669
148949,boardgame,Istanbul,2014,2,5,60,40,60,10,5262,7.6166
24800,boardgame,Conflict of Heroes: Awakening the Bear!  Russia 1941-42,2008,1,4,120,120,120,10,2668,7.6151
66589,boardgame,Navegador,2010,2,5,90,60,90,12,5186,7.61184
39463,boardgame,Cosmic Encounter,2008,3,5,120,60,120,12,13647,7.61025
148228,boardgame,Splendor,2014,2,4,30,30,30,10,13319,7.61012
62227,boardgame,"Labyrinth: The War on Terror, 2001 - ?",2010,1,2,180,180,180,12,2561,7.60999
54625,boardgame,Space Hulk (third edition),2009,2,2,60,60,60,12,5235,7.60757
104006,boardgame,Village,2011,2,4,90,60,90,12,9781,7.60413
38453,boardgame,Space Alert,2008,1,5,30,30,30,12,9799,7.60025
144344,boardgame,Rococo,2013,2,5,120,60,120,12,2572,7.59907
45358,boardgame,Alhambra: Big Box,2009,2,6,60,60,60,8,2359,7.59709
14996,boardgame,Ticket to Ride: Europe,2005,2,5,60,30,60,8,25924,7.59427
124708,boardgame,Mice and Mystics,2012,1,4,120,120,120,7,6961,7.59293
3685,boardgame,Hammer of the Scots,2002,2,2,180,120,180,12,3187,7.58914
157969,boardgame,Sheriff of Nottingham,2014,3,5,60,60,60,13,5277,7.58804
712,boardgame,Blood Bowl (Third Edition),1994,2,2,180,180,180,12,3918,7.58641
116998,boardgame,Thunderstone Advance: Towers of Ruin,2012,1,5,90,60,90,12,3399,7.58341
119890,boardgame,Agricola:  All Creatures Big and Small,2012,2,2,30,30,30,13,6131,7.5832
77130,boardgame,Sid Meier's Civilization: The Board Game,2010,2,4,180,180,180,13,9362,7.57679
92828,boardgame,Dixit Odyssey,2011,3,12,30,30,30,8,6904,7.56845
140603,boardgame,Francis Drake,2013,3,5,120,90,120,14,2091,7.56833
147949,boardgame,One Night Ultimate Werewolf,2014,3,10,10,10,10,8,5261,7.56356
27708,boardgame,1960: The Making of the President,2007,2,2,90,90,90,12,6362,7.56298
3307,boardgame,Wallenstein (first edition),2002,3,5,150,150,150,12,3151,7.55854
133038,boardgame,Pathfinder Adventure Card Game: Rise of the Runelords  Base Set,2013,1,4,90,90,90,13,7070,7.55852
1513,boardgame,The Republic of Rome,1990,1,6,300,300,300,14,3028,7.55831
42052,boardgame,Vinhos,2010,2,4,135,60,135,12,2963,7.5575
63628,boardgame,The Manhattan Project,2012,2,5,120,120,120,13,4530,7.55475
136888,boardgame,Bruges,2013,2,4,60,60,60,10,4758,7.55443
148575,boardgame,Marvel Dice Masters: Avengers vs. X-Men,2014,2,2,15,15,15,14,3402,7.55243
121288,boardgame,Dixit: Journey,2012,3,6,30,30,30,8,2620,7.55235
59959,boardgame,Letters from Whitechapel,2011,2,6,120,120,120,13,5977,7.54587
18833,boardgame,Lord of the Rings: The Confrontation (Deluxe Edition),2005,2,2,30,30,30,14,3719,7.54569
54043,boardgame,Jaipur,2009,2,2,30,30,30,12,10447,7.54537
128671,boardgame,Spartacus: A Game of Blood & Treachery,2012,3,4,150,150,150,17,3404,7.54437
9625,boardgame,Struggle of Empires,2004,2,7,240,180,240,13,3197,7.53928
96913,boardgame,Lancaster,2011,2,5,60,60,60,10,3761,7.53508
71,boardgame,Civilization,1980,2,7,360,360,360,12,5658,7.53434
54998,boardgame,Cyclades,2009,2,5,90,60,90,13,9094,7.53255
48726,boardgame,Alien Frontiers,2010,2,4,90,90,90,13,9266,7.53118
10630,boardgame,Memoir '44,2004,2,2,60,30,60,8,16400,7.52909
143693,boardgame,Glass Road,2013,1,4,75,75,75,12,3695,7.52766
42776,boardgame,Gears of War: The Board Game,2011,1,4,180,180,180,13,3031,7.52478
159508,boardgame,AquaSphere,2014,2,4,100,100,100,12,2219,7.52369
19857,boardgame,Glory to Rome,2005,2,5,60,60,60,12,9499,7.52169
150658,boardgame,Pandemic: The Cure,2014,2,5,30,30,30,8,2669,7.51992
65901,boardgame,Age of Industry,2010,2,5,120,120,120,13,2323,7.51948
162082,boardgame,Deus,2014,2,4,90,60,90,14,2638,7.51877
103886,boardgame,Star Wars: The Card Game,2012,2,2,60,60,60,10,3254,7.51596
137408,boardgame,Amerigo,2013,2,4,90,90,90,10,2650,7.51183
41114,boardgame,The Resistance,2009,5,10,30,30,30,13,18472,7.51173
31481,boardgame,Galaxy Trucker,2007,2,4,60,60,60,10,16293,7.5095
9209,boardgame,Ticket to Ride,2004,2,5,60,30,60,8,37146,7.50417
79828,boardgame,A Few Acres of Snow,2011,2,2,120,60,120,14,5271,7.49275
108745,boardgame,Seasons,2012,2,4,60,60,60,14,9806,7.49273
45315,boardgame,Dungeon Lords,2009,2,4,90,90,90,12,9365,7.49085
58421,boardgame,Egizia,2009,2,4,75,75,75,12,3824,7.4863
46213,boardgame,Telestrations,2009,4,8,30,30,30,12,4019,7.48622
119432,boardgame,Snowdonia,2012,1,5,90,30,90,10,2309,7.48597
85897,boardgame,Thunderstone: Dragonspire,2011,1,5,45,45,45,12,2271,7.47643
134726,boardgame,Smash Up: Awesome Level 9000,2013,2,4,45,45,45,12,3357,7.47553
33160,boardgame,Endeavor,2009,3,5,90,90,90,12,7371,7.47547
12,boardgame,Ra,1999,2,5,60,45,60,12,13720,7.47502
67492,boardgame,Battles of Westeros,2010,2,2,60,60,60,13,2034,7.46951
2163,boardgame,Space Hulk,1989,2,4,45,45,45,12,2923,7.46642
102652,boardgame,Sentinels of the Multiverse,2011,1,5,60,30,60,8,8101,7.4644
25292,boardgame,Merchants & Marauders,2010,2,4,180,180,180,13,7629,7.46396
113924,boardgame,Zombicide,2012,1,6,60,60,60,13,7425,7.46361
105551,boardgame,Archipelago,2012,2,5,240,30,240,14,3514,7.4618
1035,boardgame,Squad Leader,1977,2,2,60,60,60,14,2453,7.46057
55670,boardgame,Macao,2009,2,4,100,50,100,12,5090,7.45896
83330,boardgame,Mansions of Madness,2011,2,5,120,120,120,13,8357,7.45817
2181,boardgame,Bridge,1925,4,4,60,60,60,12,2355,7.45552
108784,boardgame,Ascension: Storm of Souls,2011,1,4,30,30,30,13,2269,7.45377
160499,boardgame,King of New York,2014,2,6,40,40,40,10,4224,7.44591
97786,boardgame,Small World Underground,2011,2,5,90,30,90,8,5388,7.44533
822,boardgame,Carcassonne,2000,2,5,45,30,45,8,52781,7.44251
133848,boardgame,Euphoria: Build a Better Dystopia,2013,2,6,60,60,60,13,3594,7.43991
31594,boardgame,In the Year of the Dragon,2007,2,5,100,75,100,12,7365,7.43982
463,boardgame,Magic: The Gathering,1993,2,2,20,20,20,13,18599,7.43803
65781,boardgame,London,2010,2,4,90,90,90,13,4941,7.43755
3,boardgame,Samurai,1998,2,4,60,30,60,10,10620,7.43661
25417,boardgame,BattleLore,2006,2,2,60,60,60,10,8244,7.43642
128271,boardgame,Ginkgopolis,2012,1,5,45,45,45,13,2927,7.43355
21241,boardgame,Neuroshima Hex!,2006,2,4,30,30,30,13,7457,7.43348
91872,boardgame,Dungeons & Dragons: The Legend of Drizzt Board Game,2011,1,5,60,60,60,12,3155,7.42993
65532,boardgame,Defenders of the Realm,2010,1,4,90,90,90,13,3793,7.42753
138161,boardgame,Firefly: The Game,2013,1,4,120,120,120,13,4061,7.42511
31563,boardgame,Middle-Earth Quest,2009,2,4,180,180,180,13,3028,7.42501
21348,boardgame,Ticket to Ride: Mrklin,2006,2,5,60,30,60,8,6904,7.42395
163602,boardgame,XCOM: The Board Game,2015,1,4,90,90,90,14,2126,7.42382
760,boardgame,Battle Line,2000,2,2,30,30,30,12,10102,7.42213
2346,boardgame,DVONN,2001,2,2,30,30,30,9,3279,7.42194
70512,boardgame,Luna,2010,1,4,100,60,100,12,2463,7.42093
129622,boardgame,Love Letter,2012,2,4,20,20,20,10,23682,7.42068
11170,boardgame,Heroscape Master Set: Rise of the Valkyrie,2004,2,4,90,90,90,8,6375,7.41902
90137,boardgame,Blood Bowl: Team Manager  The Card Game,2011,2,4,90,90,90,14,6432,7.41711
15987,boardgame,Arkham Horror,2005,1,8,240,120,240,12,25688,7.41705
39856,boardgame,Dixit,2008,3,6,30,30,30,6,22099,7.41665
136063,boardgame,Forbidden Desert,2013,2,5,45,45,45,10,7943,7.41603
40692,boardgame,Small World,2009,2,5,80,40,80,8,33083,7.4154
37046,boardgame,Ghost Stories,2008,1,4,60,60,60,12,10871,7.414
58281,boardgame,Summoner Wars,2009,2,4,60,30,60,9,4144,7.41268
39351,boardgame,Automobile,2009,3,5,120,120,120,12,4290,7.41267
25554,boardgame,Notre Dame,2007,2,5,75,45,75,10,8917,7.41164
70323,boardgame,King of Tokyo,2011,2,6,30,30,30,8,24727,7.41
166384,boardgame,Spyfall,2014,3,8,15,15,15,12,2393,7.40747
95064,boardgame,Ascension: Return of the Fallen,2011,1,2,30,30,30,13,2279,7.40705
143519,boardgame,Quantum,2013,2,4,60,60,60,13,2517,7.405
50750,boardgame,Belfort,2011,2,5,120,120,120,12,4016,7.40414
90419,boardgame,Airlines Europe,2011,2,5,75,75,75,10,4315,7.40412
52461,boardgame,Legacy: The Testament of Duke de Crecy,2013,1,4,60,60,60,8,2101,7.40216
1353,boardgame,Time's Up!,1999,4,18,90,90,90,12,3356,7.39202
17226,boardgame,Descent: Journeys in the Dark,2005,2,5,240,240,240,12,9599,7.39014
5404,boardgame,Amun-Re,2003,3,5,90,90,90,12,6707,7.38285
66188,boardgame,Fresco,2010,2,4,60,60,60,10,7066,7.37719
39683,boardgame,At the Gates of Loyang,2009,1,4,120,60,120,10,5924,7.37653
126792,boardgame,Myrmes,2012,2,4,120,60,120,13,2807,7.37565
5,boardgame,Acquire,1962,3,6,90,90,90,12,13428,7.37367
475,boardgame,Taj Mahal,2000,3,5,100,75,100,12,5828,7.37255
26566,boardgame,Homesteaders,2009,2,4,90,90,90,12,2779,7.36947
55600,boardgame,Shipyard,2009,2,4,120,120,120,11,2406,7.36571
155987,boardgame,Abyss,2014,2,4,60,30,60,14,2612,7.36473
100901,boardgame,Flash Point: Fire Rescue,2011,1,6,45,45,45,10,9380,7.36197
70919,boardgame,Takenoko,2011,2,4,45,45,45,8,11282,7.36178
127398,boardgame,Legends of Andor,2012,2,4,90,60,90,14,4436,7.36121
66362,boardgame,Glen More,2010,2,5,70,45,70,10,5851,7.361
35570,boardgame,Tinners' Trail,2008,3,4,90,60,90,13,3136,7.3599
45986,boardgame,Stronghold,2009,2,4,120,120,120,10,2844,7.35928
121408,boardgame,Trains,2012,2,4,45,45,45,12,4235,7.35789
2655,boardgame,Hive,2001,2,2,20,20,20,9,16014,7.35745
54,boardgame,Tikal,1999,2,4,120,60,120,10,11909,7.3544
2653,boardgame,Survive: Escape from Atlantis!,1982,2,4,60,60,60,8,9914,7.35316
6472,boardgame,A Game of Thrones (first edition),2003,3,5,180,180,180,12,8779,7.35138
22827,boardgame,StarCraft: The Board Game,2007,2,6,180,180,180,12,5476,7.34969
41002,boardgame,Vasco da Gama,2009,2,4,120,60,120,12,3329,7.34945
9217,boardgame,Saint Petersburg,2004,2,4,60,45,60,10,11268,7.34764
98778,boardgame,Hanabi,2010,2,5,25,25,25,8,15102,7.34435
13,boardgame,Catan,1995,3,4,90,90,90,10,53680,7.34303
155703,boardgame,Evolution,2014,2,6,70,50,70,10,2354,7.33718
38159,boardgame,Ultimate Werewolf: Ultimate Edition,2008,5,68,90,30,90,8,2399,7.33608
47185,boardgame,Warhammer: Invasion,2009,2,2,45,45,45,13,4549,7.33484
491,boardgame,Web of Power,2000,3,5,60,50,60,12,2899,7.32968
110277,boardgame,Among the Stars,2012,2,4,30,30,30,12,3558,7.3256
27173,boardgame,Vikings,2007,2,4,60,60,60,10,5888,7.32514
528,boardgame,ZRTZ,1999,2,2,30,30,30,9,2995,7.32452
24480,boardgame,The Pillars of the Earth,2006,2,4,120,90,120,12,11391,7.32418
131646,boardgame,Merchant of Venus (second edition),2012,1,4,240,120,240,14,2209,7.32378
39938,boardgame,Carson City,2009,2,5,90,90,90,12,4859,7.32219
98351,boardgame,Core Worlds,2011,2,5,90,90,90,10,2747,7.32043
118,boardgame,Modern Art,1992,3,5,45,45,45,10,10456,7.31527
34119,boardgame,Tales of the Arabian Nights,2009,1,6,120,120,120,12,6324,7.31249
97842,boardgame,Last Will,2011,2,5,75,45,75,13,5008,7.3118
8217,boardgame,San Juan,2004,2,4,60,45,60,10,16622,7.31069
43528,boardgame,World Without End,2009,2,4,120,90,120,12,3151,7.31066
72225,boardgame,CO,2012,1,5,120,120,120,12,2200,7.31024
125618,boardgame,Libertalia,2012,2,6,45,45,45,14,5865,7.31006
22825,boardgame,Tide of Iron,2007,2,4,120,120,120,12,3249,7.29309
63888,boardgame,Innovation,2010,2,4,60,60,60,12,8688,7.28797
43570,boardgame,Friday,2011,1,1,25,25,25,10,5333,7.28685
15363,boardgame,Nexus Ops,2005,2,4,90,90,90,12,6803,7.28534
66356,boardgame,Dungeons & Dragons: Wrath of Ashardalon Board Game,2011,1,5,60,60,60,12,3525,7.28408
155362,boardgame,Ca$h 'n Guns (second edition),2014,4,8,30,30,30,10,3133,7.28294
146278,boardgame,Tash-Kalar: Arena of Legends,2013,2,4,60,30,60,13,2547,7.28222
106217,boardgame,Hawaii,2011,2,5,90,90,90,13,2729,7.28193
30957,boardgame,Tribune: Primus Inter Pares,2007,2,5,60,60,60,12,3624,7.28104
20437,boardgame,Lords of Vegas,2010,2,4,60,60,60,12,2949,7.28023
94,boardgame,Union Pacific,1999,2,6,90,90,90,12,3732,7.27247
137269,boardgame,Spyrium,2013,2,5,75,75,75,12,3472,7.2633
27162,boardgame,Kingsburg,2007,2,5,90,90,90,13,12484,7.26048
240,boardgame,Britannia,1986,3,5,240,240,240,12,3272,7.25882
43022,boardgame,Yomi,2011,2,2,30,30,30,10,2324,7.2479
34219,boardgame,Biblios,2007,2,4,30,30,30,10,6024,7.24749
31730,boardgame,Chicago Express,2007,2,6,60,60,60,12,5211,7.2464
158899,boardgame,Colt Express,2014,2,6,40,30,40,10,3717,7.24375
20963,boardgame,Fury of Dracula (second edition),2005,2,5,180,180,180,10,7547,7.24352
3201,boardgame,Lord of the Rings: The Confrontation,2002,2,2,30,30,30,12,5487,7.23896
15364,boardgame,Vegas Showdown,2005,3,5,75,75,75,12,5056,7.23866
150,boardgame,PitchCar,1995,2,8,30,30,30,6,6475,7.23398
131357,boardgame,Coup,2012,2,6,15,15,15,9,11832,7.22903
104363,boardgame,Rex: Final Days of an Empire,2012,3,6,120,120,120,14,2562,7.22868
9674,boardgame,Ingenious,2004,1,4,45,45,45,10,11365,7.22297
1041,boardgame,San Marco,2001,3,4,90,90,90,10,3555,7.21935
30380,boardgame,Cuba,2007,2,5,120,75,120,10,6330,7.21925
372,boardgame,Schotten-Totten,1999,2,2,20,20,20,8,2689,7.21517
172,boardgame,For Sale,1997,3,6,20,20,20,8,11814,7.21302
30869,boardgame,Thebes,2007,2,4,60,60,60,8,6734,7.21282
12902,boardgame,Carcassonne: The City,2004,2,4,45,30,45,8,3511,7.21229
1345,boardgame,Genoa,2001,2,5,120,60,120,12,5192,7.2101
57390,boardgame,Catacombs,2010,2,5,90,30,90,12,2192,7.20782
230,boardgame,Merchant of Venus,1988,1,6,180,180,180,12,2265,7.20438
18,boardgame,RoboRally,1994,2,8,120,20,120,12,16798,7.20173
47,boardgame,Chinatown,1999,3,5,60,60,60,12,4755,7.19621
9440,boardgame,Maharaja: The Game of Palace Building in India,2004,2,5,90,90,90,12,4232,7.19616
88,boardgame,Torres,1999,2,4,60,60,60,12,6396,7.19471
12962,boardgame,Reef Encounter,2004,2,4,120,60,120,10,4362,7.19262
478,boardgame,Citadels,2000,2,8,60,20,60,10,31243,7.18886
104710,boardgame,Wiz-War (eighth edition),2012,2,4,60,30,60,14,2993,7.18643
2507,boardgame,Libert,2001,3,6,120,120,120,12,2058,7.18579
27746,boardgame,Colosseum,2007,3,5,90,60,90,10,6127,7.18382
24508,boardgame,Taluva,2006,2,4,45,45,45,8,5181,7.17941
73761,boardgame,K2,2010,1,5,60,60,60,13,4989,7.17932
551,boardgame,Battle Cry,2000,2,2,45,45,45,10,3044,7.1787
68425,boardgame,Eminent Domain,2011,2,4,45,45,45,10,5945,7.17434
91312,boardgame,Discworld: Ankh-Morpork,2011,2,4,60,60,60,11,5396,7.17372
133473,boardgame,Sushi Go!,2013,2,5,20,20,20,8,6630,7.17317
8125,boardgame,Santiago,2003,3,5,75,75,75,10,3971,7.17045
113294,boardgame,Escape: The Curse of the Temple,2012,1,5,10,10,10,8,8124,7.16947
122298,boardgame,Morels,2012,2,2,30,30,30,10,2742,7.16573
4390,boardgame,Carcassonne: Hunters and Gatherers,2002,2,5,45,30,45,8,8753,7.16076
22345,boardgame,Yspahan,2006,2,4,60,45,60,8,6569,7.16069
95103,boardgame,Fortune and Glory: The Cliffhanger Game,2011,1,8,90,90,90,12,2071,7.15858
60,boardgame,Vinci,1999,3,6,90,90,90,14,3553,7.15814
19600,boardgame,Antike,2005,2,6,120,120,120,12,4086,7.15759
15062,boardgame,Shadows over Camelot,2005,3,7,80,60,80,10,16593,7.15498
71671,boardgame,Yggdrasil,2011,1,6,75,75,75,13,2667,7.15137
13004,boardgame,The Downfall of Pompeii,2004,2,4,45,45,45,10,5115,7.14977
13642,boardgame,Louis XIV,2005,2,4,100,75,100,12,4709,7.14682
21790,boardgame,Thurn and Taxis,2006,2,4,60,60,60,13,13543,7.14671
224,boardgame,History of the World,1991,3,6,180,180,180,12,3694,7.14373
121410,boardgame,Steam Park,2013,2,4,90,90,90,8,2702,7.13725
66056,boardgame,The Rivals for Catan,2010,2,2,45,45,45,10,2514,7.13648
554,boardgame,La Citt,2000,2,5,120,120,120,12,4401,7.13622
42215,boardgame,Tobago,2009,2,4,60,60,60,13,6908,7.1354
16747,boardgame,Tumblin-Dice,2004,1,4,30,30,30,13,2323,7.13308
50,boardgame,Lost Cities,1999,2,2,30,30,30,10,21839,7.122
39953,boardgame,A Game of Thrones: The Card Game,2008,2,4,60,60,60,14,4617,7.12073
46,boardgame,Medici,1995,3,6,60,60,60,10,4880,7.12027
21763,boardgame,Mr. Jack,2006,2,2,30,30,30,9,10148,7.11895
153938,boardgame,Camel Up,2014,2,8,30,20,30,8,5043,7.11619
4099,boardgame,Keythedral,2002,2,5,90,60,90,8,2674,7.11389
527,boardgame,GIPF,1997,2,2,30,30,30,9,2008,7.11305
35497,boardgame,Fauna,2008,2,6,60,45,60,8,2521,7.11227
132372,boardgame,Guildhall,2012,2,4,45,30,45,10,2548,7.11057
66,boardgame,Lwenherz,1997,2,4,90,90,90,12,2078,7.10842
904,boardgame,Dream Factory,2000,2,5,60,60,60,10,4117,7.10816
37904,boardgame,Formula D,2008,2,10,60,60,60,8,9234,7.10799
66505,boardgame,The Speicherstadt,2010,2,5,45,45,45,8,3502,7.10588
10547,boardgame,Betrayal at House on the Hill,2004,3,6,60,60,60,12,14028,7.10345
12002,boardgame,Jambo,2004,2,2,45,45,45,12,6808,7.09844
37628,boardgame,Haggis,2010,2,3,45,45,45,13,2778,7.0972
29368,boardgame,Last Night on Earth: The Zombie Game,2007,2,6,90,90,90,12,10697,7.0968
171,boardgame,Chess,1475,2,2,60,60,60,6,16905,7.09588
483,boardgame,Diplomacy,1959,2,7,360,360,360,12,8642,7.09411
1261,boardgame,Medina,2001,3,4,60,60,60,10,2325,7.09327
26990,boardgame,Container,2007,3,5,90,90,90,0,3286,7.09296
11,boardgame,Bohnanza,1997,2,7,45,45,45,13,23661,7.09221
147151,boardgame,Concept,2013,4,12,40,40,40,10,3469,7.09019
